case_id,route,failure_mode,outcome
SIM-000824,standard,housing,sellable
SIM-000825,pilot,display,sellable
SIM-000826,standard,power,sellable
SIM-000827,standard,housing,sellable
SIM-000828,standard,display,sellable
SIM-000829,standard,housing,sellable
SIM-000830,pilot,display,sellable
SIM-000831,pilot,housing,scrapped
SIM-000832,standard,display,sellable
SIM-000833,pilot,housing,sellable
SIM-000834,pilot,display,sellable
SIM-000835,standard,housing,sellable
SIM-000836,standard,power,sellable
SIM-000837,pilot,power,sellable
SIM-000838,pilot,display,sellable
SIM-000839,standard,housing,sellable
SIM-000840,pilot,housing,scrapped
SIM-000841,standard,display,sellable
SIM-000842,standard,housing,scrapped
SIM-000843,standard,display,sellable
SIM-000844,pilot,display,sellable
SIM-000845,standard,housing,sellable
SIM-000846,standard,display,sellable
SIM-000847,pilot,power,sellable
SIM-000848,pilot,display,sellable
SIM-000849,pilot,display,sellable
SIM-000850,pilot,housing,sellable
SIM-000851,pilot,housing,sellable
SIM-000852,pilot,housing,sellable
SIM-000853,pilot,power,sellable
SIM-000854,standard,display,sellable
SIM-000855,pilot,display,sellable
SIM-000856,pilot,housing,scrapped
SIM-000857,standard,display,sellable
SIM-000858,standard,housing,sellable
SIM-000859,pilot,power,sellable
SIM-000860,standard,housing,sellable
SIM-000861,standard,display,sellable
SIM-000862,standard,display,sellable
SIM-000863,pilot,power,sellable
SIM-000864,pilot,power,sellable
SIM-000865,standard,display,sellable
SIM-000866,pilot,display,sellable
SIM-000867,pilot,display,sellable
SIM-000868,standard,display,sellable
SIM-000869,standard,display,sellable
SIM-000870,standard,housing,sellable
SIM-000871,pilot,housing,sellable
SIM-000872,standard,display,sellable
SIM-000873,standard,housing,sellable
SIM-000874,standard,housing,sellable
SIM-000875,standard,display,sellable
SIM-000876,standard,display,sellable
SIM-000877,pilot,housing,sellable
SIM-000878,standard,housing,sellable
SIM-000879,standard,power,sellable
SIM-000880,pilot,power,sellable
SIM-000881,pilot,display,sellable
SIM-000882,pilot,display,sellable
SIM-000883,pilot,display,sellable
SIM-000884,standard,power,sellable
SIM-000885,pilot,power,scrapped
SIM-000886,pilot,housing,sellable
SIM-000887,standard,power,sellable
SIM-000888,standard,display,sellable
SIM-000889,standard,power,sellable
SIM-000890,pilot,display,sellable
SIM-000891,pilot,power,sellable
SIM-000892,pilot,power,sellable
SIM-000893,standard,power,scrapped
SIM-000894,pilot,power,sellable
SIM-000895,pilot,power,sellable
SIM-000896,standard,display,sellable
SIM-000897,standard,housing,sellable
SIM-000898,pilot,display,sellable
SIM-000899,pilot,housing,sellable
SIM-000900,standard,housing,sellable
SIM-000901,pilot,housing,scrapped
SIM-000902,pilot,power,sellable
SIM-000903,pilot,display,sellable
SIM-000904,standard,power,sellable
SIM-000905,standard,power,sellable
SIM-000906,pilot,housing,sellable
SIM-000907,pilot,housing,sellable
SIM-000908,pilot,housing,sellable
SIM-000909,pilot,display,sellable
SIM-000910,pilot,power,sellable
SIM-000911,pilot,display,sellable
SIM-000912,pilot,power,sellable
SIM-000913,standard,display,sellable
SIM-000914,standard,power,sellable
SIM-000915,pilot,display,sellable
SIM-000916,standard,display,sellable
SIM-000917,pilot,display,sellable
SIM-000918,pilot,display,sellable
SIM-000919,pilot,power,sellable
SIM-000920,pilot,display,sellable
SIM-000921,standard,housing,sellable
SIM-000922,standard,power,scrapped
SIM-000923,pilot,power,sellable
SIM-000924,standard,power,sellable
SIM-000925,pilot,power,sellable
SIM-000926,standard,housing,sellable
SIM-000927,standard,housing,sellable
SIM-000928,pilot,power,sellable
SIM-000929,standard,housing,sellable
SIM-000930,pilot,housing,sellable
SIM-000931,standard,display,sellable
SIM-000932,standard,housing,sellable
SIM-000933,pilot,display,sellable
SIM-000934,pilot,power,sellable
SIM-000935,standard,power,sellable
SIM-000936,standard,housing,sellable
SIM-000937,standard,display,sellable
SIM-000938,pilot,housing,scrapped
SIM-000939,standard,display,sellable
SIM-000940,pilot,power,sellable
SIM-000941,standard,power,sellable
SIM-000942,standard,power,sellable
SIM-000943,standard,housing,sellable
SIM-000944,pilot,housing,sellable
SIM-000945,standard,display,sellable
SIM-000946,standard,housing,scrapped
SIM-000947,standard,display,sellable
SIM-000948,pilot,housing,sellable
SIM-000949,standard,housing,sellable
SIM-000950,pilot,housing,scrapped
SIM-000951,standard,power,sellable
SIM-000952,standard,power,sellable
SIM-000953,pilot,power,sellable
SIM-000954,pilot,power,sellable
SIM-000955,pilot,display,sellable
SIM-000956,standard,power,sellable
SIM-000957,standard,display,sellable
SIM-000958,pilot,housing,sellable
SIM-000959,standard,housing,sellable
SIM-000960,pilot,power,sellable
SIM-000961,standard,power,sellable
SIM-000962,pilot,power,sellable
SIM-000963,pilot,housing,sellable
SIM-000964,standard,power,sellable
SIM-000965,standard,display,scrapped
SIM-000966,pilot,display,sellable
SIM-000967,pilot,power,sellable
SIM-000968,standard,housing,sellable
SIM-000969,pilot,display,sellable
SIM-000970,standard,power,sellable
SIM-000971,standard,housing,sellable
SIM-000972,pilot,housing,scrapped
SIM-000973,pilot,display,sellable
SIM-000974,pilot,power,sellable
SIM-000975,pilot,housing,sellable
SIM-000976,standard,display,sellable
SIM-000977,pilot,power,sellable
SIM-000978,pilot,housing,sellable
SIM-000979,standard,power,sellable
SIM-000980,standard,housing,sellable
SIM-000981,standard,housing,sellable
SIM-000982,standard,housing,sellable
SIM-000983,standard,power,sellable
SIM-000984,standard,power,sellable
SIM-000985,pilot,display,sellable
SIM-000986,standard,power,sellable
SIM-000987,pilot,power,scrapped
SIM-000988,standard,power,sellable
SIM-000989,pilot,power,sellable
SIM-000990,standard,housing,sellable
SIM-000991,pilot,display,sellable
SIM-000992,pilot,housing,sellable
SIM-000993,standard,housing,sellable
SIM-000994,pilot,power,sellable
SIM-000995,pilot,power,sellable
SIM-000996,pilot,housing,scrapped
SIM-000997,pilot,power,sellable
SIM-000998,pilot,display,sellable
SIM-000999,pilot,housing,sellable
SIM-001000,pilot,display,sellable
SIM-001001,pilot,display,sellable
SIM-001002,pilot,power,sellable
SIM-001003,standard,display,sellable
SIM-001004,pilot,display,sellable
SIM-001005,pilot,power,sellable
SIM-001006,pilot,housing,sellable
SIM-001007,pilot,power,scrapped
SIM-001008,pilot,power,sellable
SIM-001009,pilot,display,sellable
SIM-001010,standard,housing,sellable
SIM-001011,pilot,housing,scrapped
SIM-001012,pilot,housing,sellable
SIM-001013,standard,display,sellable
SIM-001014,pilot,housing,sellable
SIM-001015,standard,display,sellable
SIM-001016,pilot,display,sellable
SIM-001017,standard,power,sellable
SIM-001018,pilot,housing,sellable
SIM-001019,pilot,housing,sellable
SIM-001020,pilot,display,sellable
SIM-001021,pilot,display,sellable
SIM-001022,pilot,power,sellable
SIM-001023,standard,power,sellable
SIM-001024,pilot,power,scrapped
SIM-001025,standard,housing,sellable
SIM-001026,pilot,power,sellable
SIM-001027,standard,housing,sellable
SIM-001028,standard,housing,sellable
SIM-001029,standard,power,sellable
SIM-001030,standard,display,sellable
SIM-001031,pilot,power,sellable
SIM-001032,standard,power,sellable
SIM-001033,standard,housing,sellable
SIM-001034,standard,housing,sellable
SIM-001035,pilot,display,sellable
SIM-001036,pilot,power,sellable
SIM-001037,pilot,display,sellable
SIM-001038,pilot,housing,sellable
SIM-001039,pilot,display,sellable
SIM-001040,standard,display,sellable
SIM-001041,standard,housing,sellable
SIM-001042,standard,housing,sellable
SIM-001043,standard,housing,sellable
SIM-001044,pilot,housing,sellable
SIM-001045,standard,power,sellable
SIM-001046,standard,housing,sellable
SIM-001047,pilot,display,sellable
SIM-001048,standard,display,sellable
SIM-001049,pilot,power,sellable
SIM-001050,pilot,housing,sellable
SIM-001051,pilot,display,sellable
SIM-001052,standard,display,sellable
SIM-001053,pilot,display,sellable
SIM-001054,pilot,power,sellable
SIM-001055,standard,housing,sellable
SIM-001056,pilot,display,sellable
SIM-001057,pilot,power,sellable
SIM-001058,standard,display,sellable
SIM-001059,standard,housing,sellable
SIM-001060,pilot,display,sellable
SIM-001061,standard,power,sellable
SIM-001062,pilot,housing,scrapped
SIM-001063,pilot,housing,sellable
SIM-001064,standard,housing,sellable
SIM-001065,standard,power,sellable
SIM-001066,standard,housing,sellable
SIM-001067,standard,display,scrapped
SIM-001068,pilot,display,sellable
SIM-001069,standard,display,scrapped
SIM-001070,pilot,power,sellable
SIM-001071,standard,display,sellable
SIM-001072,standard,power,scrapped
SIM-001073,standard,display,sellable
SIM-001074,pilot,power,sellable
SIM-001075,standard,display,sellable
SIM-001076,standard,power,sellable
SIM-001077,pilot,display,sellable
SIM-001078,standard,housing,sellable
SIM-001079,pilot,housing,sellable
SIM-001080,pilot,power,sellable
SIM-001081,standard,power,scrapped
SIM-001082,standard,power,sellable
SIM-001083,pilot,display,sellable
SIM-001084,pilot,power,sellable
SIM-001085,standard,power,sellable
SIM-001086,standard,display,sellable
SIM-001087,standard,housing,sellable
SIM-001088,standard,housing,sellable
SIM-001089,pilot,housing,scrapped
SIM-001090,standard,housing,sellable
SIM-001091,pilot,housing,scrapped
SIM-001092,pilot,housing,scrapped
SIM-001093,standard,power,sellable
SIM-001094,pilot,power,sellable
SIM-001095,standard,display,sellable
SIM-001096,pilot,display,sellable
SIM-001097,standard,housing,sellable
SIM-001098,pilot,power,sellable
SIM-001099,pilot,power,sellable
SIM-001100,pilot,display,sellable
SIM-001101,pilot,display,sellable
SIM-001102,standard,display,sellable
SIM-001103,pilot,housing,sellable
SIM-001104,standard,power,sellable
SIM-001105,standard,housing,sellable
SIM-001106,standard,housing,scrapped
SIM-001107,standard,power,sellable
SIM-001108,pilot,power,sellable
SIM-001109,pilot,power,sellable
SIM-001110,standard,display,sellable
SIM-001111,standard,power,sellable
SIM-001112,standard,housing,sellable
SIM-001113,pilot,display,sellable
SIM-001114,pilot,display,sellable
SIM-001115,pilot,power,sellable
SIM-001116,pilot,display,sellable
SIM-001117,standard,housing,sellable
SIM-001118,standard,display,sellable
SIM-001119,standard,display,scrapped
SIM-001120,pilot,display,sellable
SIM-001121,standard,display,scrapped
SIM-001122,standard,power,sellable
SIM-001123,standard,display,sellable
SIM-001124,pilot,housing,scrapped
SIM-001125,pilot,housing,scrapped
SIM-001126,standard,housing,sellable
SIM-001127,pilot,housing,scrapped
SIM-001128,standard,power,sellable
SIM-001129,pilot,display,sellable
SIM-001130,pilot,housing,sellable
SIM-001131,pilot,power,sellable
SIM-001132,standard,power,sellable
SIM-001133,standard,display,sellable
SIM-001134,pilot,display,sellable
SIM-001135,pilot,housing,scrapped
SIM-001136,standard,housing,sellable
SIM-001137,standard,display,sellable
SIM-001138,standard,power,sellable
SIM-001139,standard,housing,sellable
SIM-001140,standard,power,sellable
SIM-001141,pilot,power,sellable
SIM-001142,standard,housing,sellable
SIM-001143,pilot,housing,scrapped
SIM-001144,standard,power,sellable
SIM-001145,pilot,display,sellable
SIM-001146,standard,power,sellable
SIM-001147,standard,power,sellable
SIM-001148,standard,housing,scrapped
SIM-001149,standard,housing,sellable
SIM-001150,standard,power,sellable
SIM-001151,standard,power,sellable
SIM-001152,standard,display,sellable
SIM-001153,standard,housing,sellable
SIM-001154,pilot,power,sellable
SIM-001155,standard,display,sellable
SIM-001156,pilot,housing,scrapped
SIM-001157,pilot,power,sellable
SIM-001158,pilot,housing,scrapped
SIM-001159,pilot,power,sellable
SIM-001160,standard,display,sellable
SIM-001161,standard,power,sellable
SIM-001162,standard,display,sellable
SIM-001163,standard,power,sellable
SIM-001164,standard,housing,sellable
SIM-001165,standard,display,sellable
SIM-001166,standard,power,sellable
SIM-001167,pilot,power,sellable
SIM-001168,pilot,power,sellable
SIM-001169,standard,power,sellable
SIM-001170,standard,power,sellable
SIM-001171,standard,display,sellable
SIM-001172,standard,power,sellable
SIM-001173,pilot,power,sellable
SIM-001174,pilot,display,sellable
SIM-001175,standard,power,sellable
SIM-001176,pilot,power,sellable
SIM-001177,standard,power,sellable
SIM-001178,standard,display,sellable
SIM-001179,pilot,display,sellable
SIM-001180,pilot,power,sellable
SIM-001181,pilot,display,sellable
SIM-001182,standard,display,sellable
SIM-001183,standard,display,sellable
SIM-001184,pilot,power,sellable
SIM-001185,pilot,display,sellable
SIM-001186,standard,display,sellable
SIM-001187,standard,housing,sellable
SIM-001188,standard,housing,sellable
SIM-001189,standard,display,sellable
SIM-001190,pilot,power,sellable
SIM-001191,pilot,display,sellable
SIM-001192,standard,housing,sellable
SIM-001193,standard,housing,sellable
SIM-001194,pilot,housing,sellable
SIM-001195,standard,power,sellable
SIM-001196,pilot,housing,sellable
SIM-001197,pilot,display,sellable
SIM-001198,pilot,power,sellable
SIM-001199,pilot,housing,sellable
